INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:87) | com.bagonationalbank.app.main.ConsoleMenuMain - =*=*=*=*=*=*=*=*=*=*=*=*
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:91) | com.bagonationalbank.app.main.ConsoleMenuMain - 
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:92) | com.bagonationalbank.app.main.ConsoleMenuMain - What would you like to do today?
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:93) | com.bagonationalbank.app.main.ConsoleMenuMain - --------------------------------
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:94) | com.bagonationalbank.app.main.ConsoleMenuMain - 1) View Acount Balance
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:95) | com.bagonationalbank.app.main.ConsoleMenuMain - 2) Deposit Funds
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:96) | com.bagonationalbank.app.main.ConsoleMenuMain - 3) Withdraw Funds
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:97) | com.bagonationalbank.app.main.ConsoleMenuMain - 4) Transfer Funds
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:98) | com.bagonationalbank.app.main.ConsoleMenuMain - 5) EXIT
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:99) | com.bagonationalbank.app.main.ConsoleMenuMain - Please enter an appropriate choice between 1-5
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:28) | com.bagonationalbank.app.main.ConsoleMenuMain - 
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:29) | com.bagonationalbank.app.main.ConsoleMenuMain - ****************************************************
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:30) | com.bagonationalbank.app.main.ConsoleMenuMain -  Welcome To Bago National Bank's Online Banking App 
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:31) | com.bagonationalbank.app.main.ConsoleMenuMain - ****************************************************
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:32) | com.bagonationalbank.app.main.ConsoleMenuMain - 
BANKING MENU
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:33) | com.bagonationalbank.app.main.ConsoleMenuMain - -----------------
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:34) | com.bagonationalbank.app.main.ConsoleMenuMain - 1) Returning Customer
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:35) | com.bagonationalbank.app.main.ConsoleMenuMain - 2) New Customer
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:36) | com.bagonationalbank.app.main.ConsoleMenuMain - 3) Employee
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:37) | com.bagonationalbank.app.main.ConsoleMenuMain - 4) EXIT
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:18 | (ConsoleMenu.java:38) | com.bagonationalbank.app.main.ConsoleMenuMain - Please enter an appropriate choice between 1-4
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:25 | (ConsoleMenu.java:59) | com.bagonationalbank.app.main.ConsoleMenuMain - 
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:25 | (ConsoleMenu.java:60) | com.bagonationalbank.app.main.ConsoleMenuMain - RETURNING CUSTOMER
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:25 | (ConsoleMenu.java:61) | com.bagonationalbank.app.main.ConsoleMenuMain - ---------------------
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:25 | (ConsoleMenu.java:70) | com.bagonationalbank.app.main.ConsoleMenuMain - Please Enter your Username
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:33 | (ConsoleMenu.java:73) | com.bagonationalbank.app.main.ConsoleMenuMain - 
Please Enter your Pin
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:84) | com.bagonationalbank.app.main.ConsoleMenuMain - 
WELCOME Bob Dillon!
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:85) | com.bagonationalbank.app.main.ConsoleMenuMain - =*=*=*=*=*=*=*=*=*=*=*=*
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:126) | com.bagonationalbank.app.main.ConsoleMenuMain - 
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:127) | com.bagonationalbank.app.main.ConsoleMenuMain - ACCOUNT DETAILS
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:128) | com.bagonationalbank.app.main.ConsoleMenuMain - ------------------
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:132) | com.bagonationalbank.app.main.ConsoleMenuMain - Account ID: 1 ** Type: savings ** Balance: $754.69
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:94) | com.bagonationalbank.app.main.ConsoleMenuMain - 
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:95) | com.bagonationalbank.app.main.ConsoleMenuMain - What would you like to do today?
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:96) | com.bagonationalbank.app.main.ConsoleMenuMain - --------------------------------
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:97) | com.bagonationalbank.app.main.ConsoleMenuMain - 1) View Acount Balance
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:98) | com.bagonationalbank.app.main.ConsoleMenuMain - 2) Deposit Funds
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:99) | com.bagonationalbank.app.main.ConsoleMenuMain - 3) Withdraw Funds
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:100) | com.bagonationalbank.app.main.ConsoleMenuMain - 4) Transfer Funds
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:101) | com.bagonationalbank.app.main.ConsoleMenuMain - 5) EXIT
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:36 | (ConsoleMenu.java:102) | com.bagonationalbank.app.main.ConsoleMenuMain - Please enter an appropriate choice between 1-5
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:40 | (ConsoleMenu.java:126) | com.bagonationalbank.app.main.ConsoleMenuMain - 
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:40 | (ConsoleMenu.java:127) | com.bagonationalbank.app.main.ConsoleMenuMain - ACCOUNT DETAILS
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:40 | (ConsoleMenu.java:128) | com.bagonationalbank.app.main.ConsoleMenuMain - ------------------
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:40 | (ConsoleMenu.java:132) | com.bagonationalbank.app.main.ConsoleMenuMain - Account ID: 1 ** Type: savings ** Balance: $754.69
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:40 | (ConsoleMenu.java:94) | com.bagonationalbank.app.main.ConsoleMenuMain - 
INFO    | main | 05-Jan-2021 Tuesday MST 01:09:40 | (ConsoleMenu.java:95) | com.bagonationalbank.app.main.ConsoleMenuMain - What would you like to do today?
